City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,267.95,97,100,4.68,RU,1682359545
1,kingston,17.997,-76.7936,303.84,67,28,1.34,JM,1682359356
2,avarua,-21.2078,-159.775,296.18,83,20,3.09,CK,1682359546
3,happy valley-goose bay,53.3168,-60.3315,283.32,53,20,3.09,CA,1682359546
4,udachny,66.4167,112.4,259.18,100,50,1.59,RU,1682359546
5,brookings,44.3114,-96.7984,282.34,47,0,3.09,US,1682359547
6,yellowknife,62.456,-114.3525,277.44,56,75,2.68,CA,1682359547
7,albany,42.6001,-73.9662,284.91,55,91,0.89,US,1682359501
8,gbadolite,4.2833,21.0167,297.78,72,69,1.37,CD,1682359548
9,bilibino,68.0546,166.4372,257.84,78,2,2.43,RU,1682359548
10,ushuaia,-54.8,-68.3,278.96,75,100,1.54,AR,1682359483
11,turkestan,43.3333,68.25,291.11,29,1,2.26,KZ,1682359548
12,i-n-salah,27.1935,2.4607,304.68,9,14,5.07,DZ,1682359549
13,lebu,-37.6167,-73.65,288.47,68,2,3.9,CL,1682359549
14,adamstown,-25.066,-130.1015,298.3,88,99,6.11,PN,1682359549
15,grytviken,-54.2811,-36.5092,275.17,82,19,7.96,GS,1682359550
16,nemuro,43.3236,145.575,275.81,76,13,7.61,JP,1682359550
17,edinburgh of the seven seas,-37.0676,-12.3116,288.67,67,72,9.17,SH,1682359550
18,vorkuta,67.5,64.0,264.74,97,93,4.49,RU,1682359551
19,new norfolk,-42.7826,147.0587,284.1,87,34,1.7,AU,1682359551
20,rio grande,-32.035,-52.0986,302.21,65,2,5.05,BR,1682359551
21,isangel,-19.55,169.2667,298.0,84,67,3.77,VU,1682359551
22,waitangi,-43.9535,-176.5597,284.81,53,94,13.91,NZ,1682359552
23,college,64.8569,-147.8028,264.12,48,75,6.69,US,1682359552
24,ta`u,-14.2336,-169.5144,300.56,75,55,3.89,AS,1682359552
25,puerto ayora,-0.7393,-90.3518,302.13,85,70,3.58,EC,1682359553
26,visakhapatnam,17.69,83.2093,302.09,84,40,1.03,IN,1682359553
27,saldanha,-33.0117,17.9442,291.18,95,51,1.95,ZA,1682359553
28,altai,46.3722,96.2583,274.16,21,78,1.49,MN,1682359554
29,blackmans bay,-43.0167,147.3167,283.44,91,40,2.26,AU,1682359554
30,kangding,30.0513,101.9603,279.6,97,100,0.4,CN,1682359554
31,bredasdorp,-34.5322,20.0403,289.96,77,5,4.31,ZA,1682359555
32,utrik,11.2278,169.8474,299.98,83,100,9.72,MH,1682359555
33,bethel,41.3712,-73.414,288.12,47,75,2.57,US,1682359555
34,cabo san lucas,22.8909,-109.9124,302.38,52,20,6.17,MX,1682359555
35,port mathurin,-19.6833,63.4167,299.34,83,98,9.07,MU,1682359282
36,thaba nchu,-29.2093,26.839,288.51,29,100,2.01,ZA,1682359556
37,west island,-12.1568,96.8225,300.14,74,100,9.77,CC,1682359556
38,invercargill,-46.4,168.35,284.83,82,98,0.89,NZ,1682359443
39,ilulissat,69.2167,-51.1,274.16,93,20,3.09,GL,1682359557
40,sitka,57.0531,-135.33,279.09,70,100,4.63,US,1682359557
41,san patricio,28.017,-97.5169,296.12,73,86,4.38,US,1682359557
42,monterrey,25.6667,-100.3167,303.56,89,91,2.1,MX,1682359557
43,krivosheino,57.3431,83.9261,271.89,89,100,7.92,RU,1682359558
44,ain sukhna,29.6002,32.3167,295.12,50,1,4.98,EG,1682359558
45,jamestown,42.097,-79.2353,277.9,93,100,5.14,US,1682359491
46,hengyang,26.8881,112.615,283.45,91,100,2.31,CN,1682359559
47,coquimbo,-29.9533,-71.3436,292.0,68,20,4.63,CL,1682359559
48,masjed soleyman,31.9364,49.3039,300.9,39,0,1.03,IR,1682359559
49,codrington,-38.2667,141.9667,287.36,70,1,3.68,AU,1682359559
50,hamilton,39.1834,-84.5333,282.93,50,31,1.34,US,1682359288
51,ribeira grande,38.5167,-28.7,292.37,82,20,5.81,PT,1682359560
52,port-aux-francais,-49.35,70.2167,277.31,63,28,7.54,TF,1682359560
53,haiku-pauwela,20.9219,-156.3051,298.73,74,0,1.54,US,1682359561
54,la gi,10.6667,107.7833,300.67,81,33,6.16,VN,1682359562
55,shimoda,34.6667,138.95,283.76,71,100,5.04,JP,1682359564
56,georgetown,5.4112,100.3354,299.12,94,20,1.54,MY,1682359564
57,portland,45.5234,-122.6762,286.24,76,100,2.68,US,1682359564
58,namtsy,62.7161,129.6658,269.3,93,100,3.73,RU,1682359565
59,minas de marcona,-15.2119,-75.1103,295.38,59,3,8.21,PE,1682359565
60,atafu village,-8.5421,-172.5159,301.54,75,33,3.94,TK,1682359565
61,halawah,32.3846,35.6615,287.36,59,0,1.93,JO,1682359566
62,lethem,3.3803,-59.7968,303.32,62,98,1.36,GY,1682359566
63,kayes,14.0,-11.0,313.71,9,19,1.43,ML,1682359567
64,ghorawal,24.7667,82.7833,297.02,42,59,2.71,IN,1682359567
65,yanam,16.7333,82.2167,299.52,90,2,1.45,IN,1682359568
66,parry sound,45.3501,-80.033,276.18,75,100,3.44,CA,1682359365
67,kristiansund,63.1115,7.732,276.18,69,75,7.2,NO,1682359568
68,olonkinbyen,70.9221,-8.7187,268.93,82,99,7.66,SJ,1682359568
69,sao joao da barra,-21.6403,-41.0511,300.2,70,14,4.22,BR,1682359509
70,severo-yeniseyskiy,60.3725,93.0408,273.24,96,100,1.66,RU,1682359570
71,wailua homesteads,22.0669,-159.378,297.39,90,0,2.06,US,1682359571
72,puerto natales,-51.7236,-72.4875,281.4,93,75,1.03,CL,1682359328
73,westport,41.1415,-73.3579,288.89,52,0,7.2,US,1682359430
74,tsiombe,-25.3,45.4833,293.52,84,28,2.23,MG,1682359572
75,weno,7.4515,151.8468,300.12,100,100,0.0,FM,1682359572
76,margaret river,-33.95,115.0667,286.07,76,97,7.51,AU,1682359469
77,north tamworth,-31.0778,150.9261,283.21,93,0,4.12,AU,1682359573
78,enewetak,11.3474,162.3373,299.1,88,100,7.72,MH,1682359573
79,diu,20.7141,70.9822,300.28,63,89,5.89,IN,1682359574
80,afaahiti,-17.75,-149.2833,298.08,83,87,4.81,PF,1682359574
81,buy,58.4786,41.53,285.53,58,32,2.43,RU,1682359575
82,phan thiet,10.9333,108.1,299.37,85,39,4.25,VN,1682359575
83,tadine,-21.55,167.8833,296.98,84,92,5.52,NC,1682359575
84,dursunbey,39.586,28.6257,283.48,56,18,0.9,TR,1682359576
85,tidjikja,18.5564,-11.4271,308.81,10,1,6.9,MR,1682359576
86,hawaiian paradise park,19.5933,-154.9731,298.09,90,100,2.06,US,1682359576
87,longyearbyen,78.2186,15.6401,266.06,68,0,2.06,SJ,1682359577
88,butembo,0.15,29.2833,286.94,93,100,1.08,CD,1682359577
89,talnakh,69.4865,88.3972,275.49,77,57,4.4,RU,1682359578
90,itaituba,-4.2761,-55.9836,306.24,62,40,1.54,BR,1682359578
91,peterborough,52.5736,-0.2478,281.66,61,100,5.66,GB,1682359304
92,salina,38.8403,-97.6114,290.94,35,0,9.77,US,1682359579
93,punta arenas,-53.15,-70.9167,280.21,93,100,3.6,CL,1682359579
94,hun,29.1268,15.9477,299.21,24,89,5.75,LY,1682359579
95,las veredas,23.1388,-109.7075,302.02,56,0,5.14,MX,1682359580
96,valley city,46.9233,-98.0032,276.44,60,100,4.63,US,1682359580
97,diamantina,-18.2494,-43.6003,293.16,66,54,3.94,BR,1682359326
98,vilyuchinsk,52.9306,158.4028,272.18,82,82,3.56,RU,1682359581
99,ubari,26.5921,12.7805,300.21,21,79,4.28,LY,1682359581
100,vega de alatorre,20.0333,-96.6333,296.23,85,98,4.41,MX,1682359582
101,trairi,-3.2778,-39.2689,301.64,74,55,4.64,BR,1682359315
102,malvan,16.0667,73.4667,299.8,75,4,4.59,IN,1682359583
103,dzhangala,49.2167,50.3333,286.27,90,100,7.84,KZ,1682359583
104,irymple,-34.25,142.1667,290.49,56,0,4.07,AU,1682359583
105,saipan,15.1355,145.701,300.54,100,40,5.14,MP,1682359584
106,susuman,62.7833,148.1667,258.41,99,81,1.88,RU,1682359585
107,isafjordur,66.0755,-23.124,274.83,59,98,3.56,IS,1682359585
108,namdrik,5.5994,168.1028,300.92,80,100,6.46,MH,1682359586
109,stanley,54.868,-1.6985,279.42,69,20,5.66,GB,1682359586
110,lerwick,60.1545,-1.1494,276.15,63,100,11.26,GB,1682359587
111,saint-pierre,-21.3393,55.4781,299.58,83,0,1.54,RE,1682359587
112,saint-denis,48.9167,2.3333,286.92,67,75,3.09,FR,1682359587
113,qaqortoq,60.7167,-46.0333,275.6,78,50,1.05,GL,1682359588
114,necochea,-38.5473,-58.7368,295.0,44,0,3.19,AR,1682359588
115,gafanha da nazare,40.6362,-8.7134,293.72,73,88,3.91,PT,1682359588
116,nizhniy odes,63.6445,54.856,271.86,97,100,3.32,RU,1682359589
117,ola,59.5833,151.2833,274.9,81,100,4.78,RU,1682359589
118,banda aceh,5.5577,95.3222,300.25,79,100,2.31,ID,1682359590
119,iqaluit,63.7506,-68.5145,274.0,93,100,2.57,CA,1682359590
